p-value_TI-CT-PPHE vs TI-CT-CH-TPP,Log (Fold Change)_TI-CT-PPHE vs TI-CT-CH-TPP,Protein,Gene,p-value_TI-CT-PPHE vs TI-CT-CH,Log (Fold Change)_TI-CT-PPHE vs TI-CT-CH,p-value_TI-CT-PPHE vs TI-CT,Log (Fold Change)_TI-CT-PPHE vs TI-CT,p-value_TI-CT-PPHE vs TI-PPHE,Log (Fold Change)_TI-CT-PPHE vs TI-PPHE,p-value_TI-CT-PPHE vs TI-P4000,Log (Fold Change)_TI-CT-PPHE vs TI-P4000,p-value_TI-CT-CH-TPP vs TI-CT-CH,Log (Fold Change)_TI-CT-CH-TPP vs TI-CT-CH,p-value_TI-CT-CH-TPP vs TI-CT,Log (Fold Change)_TI-CT-CH-TPP vs TI-CT,p-value_TI-CT-CH-TPP vs TI-P4000,Log (Fold Change)_TI-CT-CH-TPP vs TI-P4000,p-value_TI-CT-CH-TPP vs TI-PPHE,Log (Fold Change)_TI-CT-CH-TPP vs TI-PPHE,p-value_TI-CT-CH vs TI-CT,Log (Fold Change)_TI-CT-CH vs TI-CT,p-value_TI-CT-CH vs TI-PPHE,Log (Fold Change)_TI-CT-CH vs TI-PPHE,p-value_TI-CT-CH vs TI-P4000,Log (Fold Change)_TI-CT-CH vs TI-P4000,p-value_TI-CT vs TI-PPHE,Log (Fold Change)_TI-CT vs TI-PPHE,p-value_TI-PPHE vs TI-P4000,Log (Fold Change)_TI-PPHE vs TI-P4000,p-value_TI-CT vs TI-P4000,Log (Fold Change)_TI-CT vs TI-P4000
0.00025,0.305783531989796,Q32PJ2,APOA4,0.18854,-0.0436736520824242,0.00962,-0.256886003420752,0.22586,-0.0450311919148877,0.00872,-0.0828312754873351,0.00125,-0.34945718407222,0.00176,-0.562669535410548,0.00022,-0.388614807477131,0.00185,-0.350814723904684,0.01909,-0.213212351338328,0.97379,-0.00135753983246352,0.24597,-0.0391576234049109,0.02068,0.211854811505864,0.30233,-0.0378000835724474,0.02822,0.174054727933417
0.00035,-0.122022770378256,Q9TTE1,SPA31,0.13613,-0.0270699457141544,0.02438,0.105498023384506,0.73568,0.00754728497608882,0.54435,0.0290450380314469,0.00111,0.0949528246641019,0.00081,0.227520793762763,0.01575,0.151067808409703,0.00163,0.129570055354345,0.0109,0.132567969098661,0.17173,0.0346172306902433,0.26038,0.0561149837456014,0.04793,-0.0979507384084173,0.67117,0.0214977530553581,0.2443,-0.0764529853530592
0.00045,-0.0363479377239437,P41361,ANT3,0.00976,-0.0123507797461586,0.08295,0.0527970544986596,0.13478,-0.0116477521004469,0.57558,0.0173371139699057,0.00143,0.0239971579777851,0.0156,0.0891449922226033,0.1212,0.0536850516938494,0.01641,0.0247001856234968,0.04472,0.0651478342448182,0.91183,0.000703027645711746,0.34932,0.0296878937160643,0.05095,-0.0644448065991065,0.36874,0.0289848660703525,0.40493,-0.035459940528754
0.00085,0.184529381640628,P80425,FABPL,0.02522,-0.0635277724586768,0.2689,-0.200864209116593,0.69725,-0.00986818285801205,0.2564,0.0809195776567341,0.00027,-0.248057154099305,0.11106,-0.385393590757221,0.23878,-0.103609803983894,0.00211,-0.19439756449864,0.40113,-0.137336436657916,0.07863,0.0536595896006647,0.06474,0.144447350115411,0.28646,0.190996026258581,0.22106,0.0907877605147462,0.1852,0.281783786773327
0.00111,0.227229890215915,Q3SWW8,TSP4,0.11355,0.0493122969173633,0.27411,-0.0365099540556742,0.68679,-0.0118818518184951,0.12596,-0.0383538709183308,0.00441,-0.177917593298552,0.00191,-0.263739844271589,0.00042,-0.265583761134246,0.00228,-0.23911174203441,0.05252,-0.0858222509730375,0.11145,-0.0611941487358584,0.01736,-0.0876661678356941,0.49433,0.0246281022371791,0.35762,-0.0264720190998357,0.94874,-0.00184391686265664
0.00198,0.133724924109717,P00741,FA9,0.22419,0.0379177163737445,0.84017,0.0130668259986438,0.40744,-0.0127528641723891,0.10148,0.0172634732758753,0.04905,-0.0958072077359727,0.1697,-0.120658098111073,0.00269,-0.116461450833842,0.0024,-0.146477788282106,0.73341,-0.0248508903751007,0.14321,-0.0506705805461337,0.47365,-0.0206542430978693,0.69212,-0.025819690171033,0.0769,0.0300163374482644,0.94898,0.00419664727723143
0.00228,-1.301029996,P80177,MIF,0.00019,-1.301029996,1.0,,1.0,,1.0,,0.66146,-0.0327468239716441,0.00228,1.301029996,0.00228,1.301029996,0.00228,1.301029996,0.00019,1.301029996,0.00019,1.301029996,0.00019,1.301029996,1.0,,1.0,,1.0,
0.00695,0.78764630335662,Q2KIX7,HP251,4.0352e-07,1.301029996,0.84973,-0.00571084671315393,0.68789,-0.0105714455463026,0.95472,-0.00379168746705344,0.3739,1.301029996,0.00829,-0.793357150069774,0.01777,-0.791437990823674,0.00744,-0.798217748902923,9.0166e-05,-1.301029996,4.7788e-05,-1.301029996,0.0022,-1.301029996,0.89833,-0.0048605988331486,0.923,0.0067797580792491,0.97874,0.0019191592461005
0.00984,-0.0494783841538794,Q58CQ9,VNN1,0.11429,0.0392931157703487,0.11381,0.060910898383795,0.06782,0.0210288611212374,0.3159,-0.00918737308969121,0.00913,0.0887714999242281,0.01841,0.110389282537674,0.00857,0.0402910110641882,0.00131,0.0705072452751168,0.58027,0.0216177826134464,0.38262,-0.0182642546491113,0.05378,-0.0484804888600399,0.25504,-0.0398820372625576,0.00266,-0.0302162342109286,0.07263,-0.0700982714734863
0.01138,0.106906296484278,P00978,AMBP,0.42776,0.0240359355277086,0.06765,0.041821288217471,0.00888,0.0395516070227259,0.19525,0.0200428643342994,0.09326,-0.0828703609565694,0.09069,-0.0650850082668069,0.02949,-0.0868634321499785,0.04951,-0.067354689461552,0.60371,0.0177853526897624,0.60579,0.0155156714950174,0.8972,-0.00399307119340915,0.89552,-0.00226968119474508,0.17219,-0.0195087426884265,0.31637,-0.0217784238831716
