Protein,Gene,p-value_PPHE vs CT,Fold Change_PPHE vs CT,p-value_PPHE vs TP,Fold Change_PPHE vs TP
P40925,MDHC,3.5647e-08,50.0,3.5647e-08,50.0
P30050,RL12,2.3173e-05,50.0,2.3173e-05,50.0
Q07020,RL18,3.2345e-05,50.0,3.2345e-05,50.0
P62854,RS26,6.3883e-05,50.0,0.43622,1.86917306729116
P16949-2,STMN1,0.00023,50.0,0.00023,50.0
P62750,RL23A,0.00079,50.0,0.00079,50.0
P0DOX7,IGK,0.00488,50.0,0.00488,50.0
Q86YZ3,HORN,0.00672,50.0,0.35833,2.12129486289874
P27816-2,MAP4,0.01143,50.0,0.01143,50.0
P21796,VDAC1,0.02041,50.0,0.02041,50.0
Q9BTM1,H2AJ,0.02066,50.0,0.43227,0.752735904901168
P62987,RL40,0.0346,50.0,0.0793,6.11590156185768
P30480,1B42,0.04959,50.0,0.04959,50.0
P05455,LA,0.05,50.0,0.0246,0.0478210323164461
Q9UQ80,PA2G4,0.05,50.0,0.05,50.0
P14209-3,CD99,0.05,50.0,0.005,0.139086470904623
P42766,RL35,0.05,50.0,0.05,50.0
P29401,TKT,0.05,50.0,0.05,50.0
P47914,RL29,0.05,50.0,0.05,50.0
P61247,RS3A,0.05,50.0,0.05,50.0
Q9H0B6,KLC2,0.05,50.0,0.64371,0.608942840229923
P26447,S10A4,0.05,50.0,0.98081,1.03251278627763
Q6NUT2,D19L2,0.00056,27.4554227820507,0.00055,42.9007107957386
P62805,H4,3.6748e-05,23.8492018369585,0.00011,7.22362250008609
P67936,TPM4,0.00015,23.1218787660071,0.00077,7.51292243605073
P0C0S8,H2A1,0.03068,14.0386899346998,0.02994,12.9533984295062
P04792,HSPB1,0.00244,13.6348547852617,0.00277,7.7806638085309
P04264,K2C1,0.0002,13.0930636743174,0.00032,6.06882824474854
P35527,K1C9,6.988e-05,12.3973460848148,0.00025,6.81599821143416
Q71DI3,H32,0.14125,12.0200310115901,0.13164,17.2617976474933
P08670,VIME,0.00113,9.73564055645537,0.00131,7.58816372402414
P68371,TBB4B,0.00443,8.75214576851344,0.00431,8.8502537129318
P02538,K2C6A,0.00299,8.67809969995673,0.00018,50.0
P62249,RS16,0.00648,7.29021739204495,0.07532,2.39869407124381
P60709,ACTB,0.00083,6.2297306371925,0.00159,4.47354605572821
P68363,TBA1B,0.00037,5.23609297595963,0.0006,2.54834992564363
Q8N257,H2B3B,0.00014,4.94601033475021,0.00024,5.56331468997591
P69892,HBG2,0.00339,4.40323348684575,0.02079,1.89858182678643
Q01105,SET,0.04155,4.34793030736437,0.21224,2.55265881063623
P0DP25,CALM3,0.00324,4.30944874533075,0.00715,4.85429345523814
P62942,FKB1A,0.19129,3.84457123737887,0.05,50.0
Q14240,IF4A2,0.00246,3.82872309464258,0.00214,6.36184969135723
P23528,COF1,0.03644,3.79857207939077,0.00102,5.45570495003524
