Cell Line1,Cell Line2,Cell Line3,Protein,Gene,Descrip,Type,Cond
16.4544560432751,16.845728067464535,17.025335314108784,P08670,VIME,Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4,H,TI_CT_PPHE
10.591087025969808,11.496527285370746,12.588299738813854,P00002,PC,PepCalMix,H,TI_CT_PPHE
17.340231833616297,17.03116751848192,16.941402544268158,P04264,K2C1,"Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6",H,TI_CT_PPHE
17.153482523845454,16.75598485351298,15.908573258596208,P35908,K22E,"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2",H,TI_CT_PPHE
17.690941728958226,16.842612656404185,16.753234500681817,P13645,K1C10,"Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6",H,TI_CT_PPHE
16.893664923617106,15.97305419059272,15.247636520618915,P35527,K1C9,"Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3",H,TI_CT_PPHE
16.09112639406981,15.66400900511805,16.35367367017636,P02533,K1C14,"Keratin, type I cytoskeletal 14 OS=Homo sapiens GN=KRT14 PE=1 SV=4",H,TI_CT_PPHE
19.75268559960848,17.67977785527915,17.73150157170125,P02545,LMNA,Prelamin-A/C OS=Homo sapiens GN=LMNA PE=1 SV=1,H,TI_CT_PPHE
16.106434978976807,14.830362355652793,15.893303888874817,P14618,KPYM,Pyruvate kinase PKM OS=Homo sapiens GN=PKM PE=1 SV=4,H,TI_CT_PPHE
15.18309680620329,12.887347670780118,13.671993429620864,P07437,TBB5,Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2,H,TI_CT_PPHE
17.10271053184268,16.998884733420475,17.981743895221285,P07355,ANXA2,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2,H,TI_CT_PPHE
17.545477333890457,16.14184808859058,16.973293591615604,P60709,ACTB,"Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1",H,TI_CT_PPHE
14.646125717176858,13.026373349375001,11.128206865123216,P68032,ACTC,"Actin, alpha cardiac muscle 1 OS=Homo sapiens GN=ACTC1 PE=1 SV=1",H,TI_CT_PPHE
17.136088141577584,17.050638121965537,16.59288145888242,P13639,EF2,Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4,H,TI_CT_PPHE
17.002576885709967,15.812990611218677,16.40335908479217,P06733,ENOA,Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2,H,TI_CT_PPHE
15.159858118204305,15.263588592813598,14.953691483834364,P11021,GRP78,78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2,H,TI_CT_PPHE
16.591070297829663,16.712400620422677,16.357084898924064,P68363,TBA1B,Tubulin alpha-1B chain OS=Homo sapiens GN=TUBA1B PE=1 SV=1,H,TI_CT_PPHE
12.276007035240932,12.826599618617703,11.717509466844422,Q13509,TBB3,Tubulin beta-3 chain OS=Homo sapiens GN=TUBB3 PE=1 SV=2,H,TI_CT_PPHE
15.954663828367366,17.757069351844788,16.46998343078359,P04406,G3P,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3,H,TI_CT_PPHE
16.74566448297704,16.61673090626666,17.213726105419784,P08758,ANXA5,Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2,H,TI_CT_PPHE
17.18982233798025,16.846525475399208,16.236793191521,P00338,LDHA,L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA PE=1 SV=2,H,TI_CT_PPHE
16.60313095804466,14.786351912986516,14.356995959717153,Q5VTE0,EF1A3,Putative elongation factor 1-alpha-like 3 OS=Homo sapiens GN=EEF1A1P5 PE=5 SV=1,H,TI_CT_PPHE
16.175794005837904,16.028219157560095,15.381585424559033,P04083,ANXA1,Annexin A1 OS=Homo sapiens GN=ANXA1 PE=1 SV=2,H,TI_CT_PPHE
13.600798165753764,15.548161497942882,16.663738170121025,P11142,HSP7C,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1,H,TI_CT_PPHE
14.36351544729812,14.642351155455774,14.97771231248362,P68104,EF1A1,Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1,H,TI_CT_PPHE
16.728322397935745,16.055440358447708,16.436756236260045,P08238,HS90B,Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4,H,TI_CT_PPHE
16.160878853069516,15.93270408706725,15.261094212742497,P14625,ENPL,Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1,H,TI_CT_PPHE
15.690940359236475,16.196852950776563,14.593119984674232,P13647,K2C5,"Keratin, type II cytoskeletal 5 OS=Homo sapiens GN=KRT5 PE=1 SV=3",H,TI_CT_PPHE
16.156815730672673,17.159505835719994,16.257166421929558,O43707,ACTN4,Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2,H,TI_CT_PPHE
16.771334618720925,15.738916367325103,16.584202727446694,P21333,FLNA,Isoform 2 of Filamin-A OS=Homo sapiens GN=FLNA,H,TI_CT_PPHE
15.156673219256279,13.646492224846137,14.37383511441207,P60174,TPIS,Triosephosphate isomerase OS=Homo sapiens GN=TPI1 PE=1 SV=3,H,TI_CT_PPHE
15.88262106959557,15.32624152569858,16.066129546375162,P62937,PPIA,Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens GN=PPIA PE=1 SV=2,H,TI_CT_PPHE
17.181439111803016,18.604357393544266,18.353700722863294,P07900,HS90A,Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5,H,TI_CT_PPHE
14.941137094109768,15.918687819489922,14.856128680245194,P62805,H4,Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2,H,TI_CT_PPHE
15.032162401856374,13.551700364506958,15.272619580661022,P04075,ALDOA,Isoform 2 of Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA,H,TI_CT_PPHE
15.240577446046265,16.673511865031106,13.488679162575327,P63104,1433Z,14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=1 SV=1,H,TI_CT_PPHE
15.231754167676007,16.466676971984437,15.305124670279035,P27797,CALR,Calreticulin OS=Homo sapiens GN=CALR PE=1 SV=1,H,TI_CT_PPHE
15.921955703129267,14.511805651260385,15.396786796898242,Q8N257,H2B3B,Histone H2B type 3-B OS=Homo sapiens GN=HIST3H2BB PE=1 SV=3,H,TI_CT_PPHE
15.638912021856779,18.41058099841837,17.241527342543357,P09382,LEG1,Galectin-1 OS=Homo sapiens GN=LGALS1 PE=1 SV=2,H,TI_CT_PPHE
12.83348257894046,11.536260836227878,14.276458056666055,P31946,1433B,Isoform Short of 14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB,H,TI_CT_PPHE
15.965126850520896,13.188772721972692,13.53103284261276,P25705,ATPA,"Isoform 2 of ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1",H,TI_CT_PPHE
15.098642031361475,10.832381703189869,13.719553732545616,P07737,PROF1,Profilin-1 OS=Homo sapiens GN=PFN1 PE=1 SV=2,H,TI_CT_PPHE
13.690354714947231,13.513706101550124,12.63833852601355,P62328,TYB4,Thymosin beta-4 OS=Homo sapiens GN=TMSB4X PE=1 SV=2,H,TI_CT_PPHE
15.783178186888954,15.478314057816647,16.051062453926356,P07195,LDHB,L-lactate dehydrogenase B chain OS=Homo sapiens GN=LDHB PE=1 SV=2,H,TI_CT_PPHE
15.493966662810159,16.057198026430928,15.22155399419627,P10809,CH60,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2",H,TI_CT_PPHE
12.119343181675546,12.166104972251357,11.591346463148744,P81605,DCD,Dermcidin OS=Homo sapiens GN=DCD PE=1 SV=2,H,TI_CT_PPHE
17.18801948271161,16.900229995774666,16.540380411555294,P35579,MYH9,Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4,H,TI_CT_PPHE
12.461683263027837,12.50034283115515,11.279667077258583,Q96QV6,H2A1A,Histone H2A type 1-A OS=Homo sapiens GN=HIST1H2AA PE=1 SV=3,H,TI_CT_PPHE
15.36883089335005,17.195271468555084,15.679761114334347,Q9NZT1,CALL5,Calmodulin-like protein 5 OS=Homo sapiens GN=CALML5 PE=1 SV=2,H,TI_CT_PPHE
13.49344221958924,12.928138015260803,14.82010646254997,P00558,PGK1,Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3,H,TI_CT_PPHE
14.140050605586165,18.477052838193057,14.007266476087972,P69905,HBA,Hemoglobin subunit alpha OS=Homo sapiens GN=HBA1 PE=1 SV=2,H,TI_CT_PPHE
17.213807209294846,16.474033581244086,16.616727749187746,Q15149,PLEC,Isoform 4 of Plectin OS=Homo sapiens GN=PLEC,H,TI_CT_PPHE
16.435830982558254,15.99958432978965,16.422754772154523,P30101,PDIA3,Protein disulfide-isomerase A3 OS=Homo sapiens GN=PDIA3 PE=1 SV=4,H,TI_CT_PPHE
