Protein,Gene,Descrip,Type,Cond,Cell Line,Expression
A1L595,K1C17," Keratin, type I cytoskeletal 17 OS=Bos taurus GN=KRT17 PE=2 SV=1",B,TI_CT_PPHE,Cell Line1,17.424811843444907
A2I7M9,SPA32, Serpin A3-2 OS=Bos taurus GN=SERPINA3-2 PE=3 SV=1,B,TI_CT_PPHE,Cell Line1,21.2916000869422
A2I7N0,SPA34, Serpin A3-4 OS=Bos taurus GN=SERPINA3-4 PE=3 SV=1,B,TI_CT_PPHE,Cell Line1,24.92962484177298
A2I7N1,SPA35, Serpin A3-5 OS=Bos taurus GN=SERPINA3-5 PE=3 SV=1,B,TI_CT_PPHE,Cell Line1,18.419637712374563
A2I7N2,SPA36, Serpin A3-6 OS=Bos taurus GN=SERPINA3-6 PE=3 SV=1,B,TI_CT_PPHE,Cell Line1,23.020087755854625
A2I7N3,SPA37, Serpin A3-7 OS=Bos taurus GN=SERPINA3-7 PE=3 SV=1,B,TI_CT_PPHE,Cell Line1,26.456494171093627
A6QPQ2,SPA38, Serpin A3-8 OS=Bos taurus GN=SERPINA3-8 PE=2 SV=1,B,TI_CT_PPHE,Cell Line1,23.615854171919672
A7E3W2,LG3BP, Galectin-3-binding protein OS=Bos taurus GN=LGALS3BP PE=1 SV=1,B,TI_CT_PPHE,Cell Line1,19.257067436616957
E1BF81,CBG, Corticosteroid-binding globulin OS=Bos taurus GN=SERPINA6 PE=3 SV=1,B,TI_CT_PPHE,Cell Line1,21.95973227438033
O46375,TTHY, Transthyretin OS=Bos taurus GN=TTR PE=1 SV=1,B,TI_CT_PPHE,Cell Line1,26.148908653700158
P00442,SODC, Superoxide dismutase [Cu-Zn] OS=Bos taurus GN=SOD1 PE=1 SV=2,B,TI_CT_PPHE,Cell Line1,18.580397588841077
P00735,THRB, Prothrombin OS=Bos taurus GN=F2 PE=1 SV=2,B,TI_CT_PPHE,Cell Line1,25.34988258168653
P00741,FA9, Coagulation factor IX OS=Bos taurus GN=F9 PE=1 SV=2,B,TI_CT_PPHE,Cell Line1,19.40928708396921
P00745,PROC, Vitamin K-dependent protein C (Fragment) OS=Bos taurus GN=PROC PE=1 SV=1,B,TI_CT_PPHE,Cell Line1,20.14136336564352
