Cell Line1,Cell Line2,Cell Line3,Protein,Gene,Descrip,Type,Cond
17.424811843444907,18.311369647439644,19.236298657156677,A1L595,K1C17," Keratin, type I cytoskeletal 17 OS=Bos taurus GN=KRT17 PE=2 SV=1",B,TI_CT_PPHE
21.2916000869422,20.973841205239736,21.03422569155721,A2I7M9,SPA32, Serpin A3-2 OS=Bos taurus GN=SERPINA3-2 PE=3 SV=1,B,TI_CT_PPHE
24.92962484177298,25.07866872913143,24.94510209645225,A2I7N0,SPA34, Serpin A3-4 OS=Bos taurus GN=SERPINA3-4 PE=3 SV=1,B,TI_CT_PPHE
18.419637712374563,18.4745119493718,18.267954927487022,A2I7N1,SPA35, Serpin A3-5 OS=Bos taurus GN=SERPINA3-5 PE=3 SV=1,B,TI_CT_PPHE
23.020087755854625,23.0984742828872,23.51803661061628,A2I7N2,SPA36, Serpin A3-6 OS=Bos taurus GN=SERPINA3-6 PE=3 SV=1,B,TI_CT_PPHE
26.456494171093627,26.52861093095806,26.665248284709037,A2I7N3,SPA37, Serpin A3-7 OS=Bos taurus GN=SERPINA3-7 PE=3 SV=1,B,TI_CT_PPHE
23.615854171919672,23.652775551292333,23.925670661973168,A6QPQ2,SPA38, Serpin A3-8 OS=Bos taurus GN=SERPINA3-8 PE=2 SV=1,B,TI_CT_PPHE
19.257067436616953,19.425930104194844,19.624845207512223,A7E3W2,LG3BP, Galectin-3-binding protein OS=Bos taurus GN=LGALS3BP PE=1 SV=1,B,TI_CT_PPHE
21.959732274380332,21.880572585830283,22.08838357403317,E1BF81,CBG, Corticosteroid-binding globulin OS=Bos taurus GN=SERPINA6 PE=3 SV=1,B,TI_CT_PPHE
26.148908653700154,26.260499381824026,26.431005338381595,O46375,TTHY, Transthyretin OS=Bos taurus GN=TTR PE=1 SV=1,B,TI_CT_PPHE
18.580397588841073,19.25031352148606,19.239180051424896,P00442,SODC, Superoxide dismutase [Cu-Zn] OS=Bos taurus GN=SOD1 PE=1 SV=2,B,TI_CT_PPHE
25.349882581686526,25.340258940063,25.448209231183025,P00735,THRB, Prothrombin OS=Bos taurus GN=F2 PE=1 SV=2,B,TI_CT_PPHE
19.409287083969215,19.47758731160633,19.483275859249638,P00741,FA9, Coagulation factor IX OS=Bos taurus GN=F9 PE=1 SV=2,B,TI_CT_PPHE
20.141363365643517,20.112898323943877,19.966082240812714,P00745,PROC, Vitamin K-dependent protein C (Fragment) OS=Bos taurus GN=PROC PE=1 SV=1,B,TI_CT_PPHE
26.266858647696367,26.21768054883887,26.299361534836972,P00978,AMBP, Protein AMBP OS=Bos taurus GN=AMBP PE=1 SV=2,B,TI_CT_PPHE
24.818607553083183,24.71428920956122,25.017311539501613,P01030,CO4, Complement C4 (Fragments) OS=Bos taurus GN=C4 PE=1 SV=2,B,TI_CT_PPHE
26.895728521328135,26.91417254587201,26.890838178305714,P01044,KNG1, Kininogen-1 OS=Bos taurus GN=KNG1 PE=1 SV=1,B,TI_CT_PPHE
23.823647247451945,23.621578076771943,23.69316090110469,P01045,KNG2, Kininogen-2 OS=Bos taurus GN=KNG2 PE=1 SV=1,B,TI_CT_PPHE
19.593895442150735,20.025666426228042,19.96832462718354,P01888,B2MG, Beta-2-microglobulin OS=Bos taurus GN=B2M PE=1 SV=2,B,TI_CT_PPHE
27.273089272310163,27.49659721424311,27.376941015027537,P01966,HBA, Hemoglobin subunit alpha OS=Bos taurus GN=HBA PE=1 SV=2,B,TI_CT_PPHE
23.30316866220247,23.243479472699445,23.46641933514326,P02070,HBB, Hemoglobin subunit beta OS=Bos taurus GN=HBB PE=1 SV=1,B,TI_CT_PPHE
28.995699496743864,28.9063657650172,29.04166615762371,P02081,HBBF, Hemoglobin fetal subunit beta OS=Bos taurus PE=1 SV=1,B,TI_CT_PPHE
23.121120291985733,22.98129664086593,23.055952212306636,P02453,CO1A1, Collagen alpha-1(I) chain OS=Bos taurus GN=COL1A1 PE=1 SV=3,B,TI_CT_PPHE
20.386835738873714,20.369438185018588,20.64217163842793,P02465,CO1A2, Collagen alpha-2(I) chain OS=Bos taurus GN=COL1A2 PE=1 SV=2,B,TI_CT_PPHE
21.478900584141908,21.52115805319628,21.82793689340999,P02584,PROF1, Profilin-1 OS=Bos taurus GN=PFN1 PE=1 SV=2,B,TI_CT_PPHE
23.101197992557235,23.201001924944144,23.193010884418474,P02672,FIBA, Fibrinogen alpha chain OS=Bos taurus GN=FGA PE=1 SV=5,B,TI_CT_PPHE
22.029758219490965,22.197284005247184,22.321614483682964,P02676,FIBB, Fibrinogen beta chain OS=Bos taurus GN=FGB PE=1 SV=2,B,TI_CT_PPHE
35.02760858571591,35.03213102804518,35.019766575791216,P02769,ALBU, Serum albumin OS=Bos taurus GN=ALB PE=1 SV=4,B,TI_CT_PPHE
20.890014237101912,21.04148502642804,20.810896455226224,P04815,BPT2, Spleen trypsin inhibitor I OS=Bos taurus PE=1 SV=2,B,TI_CT_PPHE
22.68765388065287,23.085448198631223,22.888559838179862,P06394,K1C10," Keratin, type I cytoskeletal 10 OS=Bos taurus GN=KRT10 PE=3 SV=1",B,TI_CT_PPHE
25.99301315144466,26.094460183120507,26.229016563161064,P06868,PLMN, Plasminogen OS=Bos taurus GN=PLG PE=1 SV=2,B,TI_CT_PPHE
22.6246588907367,22.758959653432424,22.933241521688167,P07224,PROS, Vitamin K-dependent protein S OS=Bos taurus GN=PROS1 PE=1 SV=1,B,TI_CT_PPHE
19.845648144961462,19.970589736848325,20.133917441815242,P07589,FINC, Fibronectin OS=Bos taurus GN=FN1 PE=1 SV=4,B,TI_CT_PPHE
19.42762148026844,19.705957515530894,19.424651651945716,P08169,MPRI, Cation-independent mannose-6-phosphate receptor OS=Bos taurus GN=IGF2R PE=1 SV=2,B,TI_CT_PPHE
19.5383121057257,19.362377305052775,19.470182286796366,P10096,G3P, Glyceraldehyde-3-phosphate dehydrogenase OS=Bos taurus GN=GAPDH PE=1 SV=4,B,TI_CT_PPHE
